ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
6803r01;feature;119;1;2331;1393.5;2807;8664.5;65487;212010.5;324570.5;281932.5;270812.5;246568.5;246661.5;288575.25;185463;360960;110943.5;1897469.5
6803r02;feature;2883;1;3486.5;7228;38489.5;29594;76575.5;280083.5;838885.5;729465;991950.5;1303072.33;1327922.33;2031183.92;1645611.5;2053913.5;837123.5;6548745.08
6803r03;feature;1489;1;1628.5;3355;13048;14065;27792;97863.33;419808.33;577809;1326185.25;1884341;2128140.83;2878977.83;3806707.67;4027685.67;6657959.83;514202
6803r04;feature;1489;1;1651.5;3755;34170;36801;44349;106419.67;436277.83;593514;1356976.33;1913748;2162146;2913157.17;3838913.83;4058854.67;6713448.17;521019
6803r05;feature;2883;1;3670.5;7316;40572.5;30727;78582;284928;851991;744798;1011924.5;1320329.83;1346792.33;2050554.58;1656998.5;2067171.83;843497.5;6592371.92
6803r06;feature;119;1;2343;1406.5;3003;9250.5;67977;216157.5;330841.5;287109.5;274841.5;249092.5;249067.5;290677.25;187213;364473;112079;1922852.5
6803s01;feature;255;1;66;133;321;308;1836.5;18490;100833;289261;1085851;940981;329327;99114.5;33492;7407;13397;853
6803t01;feature;74;1;0;3;182;438;614.25;863.5;690;77.5;71.5;63.5;81.5;53;14;20.5;18.5;27
6803t01-3UTR(Kopf);feature;622;1;0;1;16;44;181.5;367.5;372;38.5;39.5;32.5;40.5;24;8;8.5;8.5;20
6803t02;feature;85;1;31;113.5;4104.5;24214.83;42293.33;23816.08;17433;1862;832.5;906.5;1278.17;555;252.5;162.5;361;106.25
6803t02-5UTR(Kopf);feature;18;1;9;31.5;755.5;3620;9751;4928.75;3469.5;379.5;168.5;195.5;281.67;133;60.5;40.5;90;25.25
6803t03;feature;72;1;2.33;104.33;2524.98;1396.16;1804.33;1343.66;1409.49;151.33;92.17;80.33;206.5;71.83;26.33;33.83;66.67;26.17
6803t03-3UTR(Kopf);feature;97;1;2.33;83.83;2056.48;1087.16;1523.33;1131.66;1138.99;91.33;60.67;65;172.5;59.83;23.33;31.33;62.67;24.17
6803t03-5UTR(Kopf);feature;16;1;1.33;66.83;1620.48;856.16;754.33;619.66;609.49;78.33;50.17;44.33;123;51.33;18.33;24.83;46.67;13.67
6803t04;feature;74;1;1.5;3;87.5;131.17;202;143.67;67.83;1;4.33;6.92;22.33;7;5;11;7;9.5
6803t04-5UTR(Kopf);feature;10;1;0.5;1;25.5;45.17;88;68.67;28.83;1;2.33;4.92;8.33;4;3;5;5;2.5
6803t05;feature;73;1;75;981;45341.33;66191.25;72220.17;35384.5;33956;4949;2929;1941;3448;1216;429;457;755;294
6803t06;feature;74;1;0;123.5;1052;5048.5;6808;5148;3795;377.5;191.5;242.5;160.5;176;102.5;79.5;141.5;76
6803t06-5UTR(Kopf);feature;26;1;0;41.5;293;1540;1664;1179.5;760.5;81;41.5;57.5;29.5;35;19.5;5.5;31.5;11
6803t07;feature;81;1;4.5;25;2022.33;6106.5;8351.33;2654.83;1653.5;177.17;54.83;85;171.67;80.17;15.75;14.5;43.25;12.5
6803t07-3UTR(Kopf);feature;639;1;1.5;3.5;660;1873.83;2030.92;703.33;508.5;32;16.5;17.5;65.5;30.5;2;5.5;21;6.5
6803t07-5UTR(Kopf);feature;6;1;0;1.5;70.33;491;1278.08;549.83;389;41.17;15.33;17.5;32.17;12.67;4.75;2;7.25;3
6803t08;feature;73;1;4;74;3632.17;7417;7553;3499.87;2712;380.5;126.5;134;241;138;46;34.5;68.5;13.5
6803t08-5UTR(Kopf);feature;14;1;1;32;787.17;1723;1333.5;539.17;277;34;16;16;54;34;10;8.5;17.5;3.5
6803t09;feature;73;1;2;23;479;658.5;861.5;806.33;585.5;118;38;27;61;20.5;4.5;7;7;9
6803t10;feature;81;1;55.5;126;10022.5;25769.33;40684;24593.92;20674.5;1198;847.5;1224.5;2594;1003.5;231;273;422.17;267.5
6803t10-3UTR(Kopf);feature;9;1;23.5;36.5;2029;4863.83;12217;8288.42;7873.5;319;258;403;900.5;341;87.5;108;175.67;114
6803t10-5UTR(Kopf);feature;4;1;23;33.5;2147.5;5797.83;13266;9205.17;8542;518;357.5;500.5;1052.5;420.5;94.5;109;183.17;114.5
6803t11;feature;57;1;6.33;119.67;3993.72;3323.81;5367.47;3113.65;3818.73;526.83;281;267.66;463;170.33;46.17;105.83;120.67;78
6803t11-3UTR(Kopf);feature;398;1;6.33;118.67;3959.72;3269.31;5300.47;3052.32;3763.73;510.83;282;263.66;458.5;169.33;45.67;105.83;120.42;78
6803t11-5UTR(Kopf);feature;1294;1;3.33;63.67;2280.97;1629.14;2270.22;1230.82;1674.48;163.33;150.5;128.66;250;69.33;17.17;26.33;48.17;14
6803t12;feature;82;1;35;164.5;11662.5;20972.5;30982;21884.5;28796.5;4984;2768;1749.5;2652.5;725;229.5;254;428;169
6803t13;feature;74;1;157;623;19157;127407;227396;198978.5;197650;30852;10584;11729;7042;7004;2171;2192;2664;2855
6803t14;feature;73;1;62;968;36541.25;53058.45;68928.25;44251.5;34175.2;5529.2;2488.45;1933;4395;1934.2;606;631.5;931;342
6803t15;feature;74;1;1.33;2.67;242.83;326.5;506;571.25;379.5;37.67;14;18.92;35;17.67;5;1.17;5.17;1.67
6803t15-3UTR(Kopf);feature;397;1;0.33;2.67;166.33;203;274;277.5;166.5;17.17;8;12.67;14.5;11.17;1.5;3.17;2.17;1.67
6803t15-5UTR(Kopf);feature;11;1;1.33;0.67;125.83;169.5;336;442.75;287;29.67;10;11.92;27.5;12.17;4.5;0.67;4.67;0.67
6803t16;feature;73;1;1;22;1613;1547.62;2108.5;1193;1441.83;93.5;73;41;104.5;42.5;19;15;24.5;9
6803t16-5UTR(Kopf);feature;12;1;1;9.5;619;394.62;411;249;409.5;21.5;34;18.5;37.5;13.5;7.5;3;10.5;1.5
6803t17;feature;71;1;0;174;3528.5;5313.5;9914;5990;4147;835;241;194;371;114;65;69;114.5;50
6803t18;feature;73;1;1.67;7.17;160.33;257.17;259.5;117.17;82.83;9;8.33;6.5;6.5;2.67;0.83;0.83;0.5;1.33
6803t18-3UTR(Kopf);feature;128;1;1.67;5.67;124.83;207.17;226;101.17;74.83;9.5;6.83;5.5;6.5;3.67;0.83;0.83;0.5;1.33
6803t18-5UTR(Kopf);feature;27;1;0.67;3.17;49.83;84.67;77.5;38.17;22.83;2.5;3.33;1;1;0.67;0.33;0.33;0;0.33
6803t19;feature;74;1;4;67.17;1829.58;4564.23;4090.82;2758.24;1924.58;157.5;121.5;144.17;200.83;85.33;45.67;25.67;34.5;17.08
6803t19-3UTR(Kopf);feature;172;1;3.5;52.67;1292.08;3552.98;3104.32;2134.08;1527.25;98.5;68.5;83.5;127.67;56.33;35.17;20.17;26;11.58
6803t19-5UTR(Kopf);feature;20;1;2.5;28.17;813.33;1937.23;1530.82;997.99;643.83;92;83.5;96.17;108.83;45.33;18.17;9.17;12.5;5.33
6803t20;feature;87;1;131.5;303;20143.5;91386.92;201020.25;139930.92;73557.5;15630.25;4215;3663.5;6311.25;2728;965.5;732;1403;553.5
6803t20-3UTR(Kopf);feature;147;1;56;117.5;6721.5;30448.42;93673.25;64636.92;40561;11217.75;3065;2183.5;3068.25;1471;659;567;683;376.5
6803t21;feature;90;1;102;164.5;10018.5;120158.5;224245.58;253951.67;230897.83;29321.5;9367;10791.5;8987;5056.5;2915.5;1470;2467.5;1308.5
6803t21-3UTR(Kopf);feature;875;1;31;49.5;2226;32217.25;65567.75;75631.67;76655;10206;3446;3738;2908;1688.5;990.5;497;864.5;446
6803t22;feature;73;1;8.17;89;2790.81;3597.14;4806.39;4570.97;4183.98;192.5;149.33;225.17;401.33;176.67;67.33;62.33;141.67;71.33
6803t22-3UTR(Kopf);feature;197;1;8.17;87;2581.81;3281.89;4431.89;4317.47;4019.31;175.33;142.33;212;382.83;170.17;66.83;61.83;139.67;69.33
6803t22-5UTR(Kopf);feature;16;1;3.67;53;1702.31;2014.39;2173.64;2022.97;1576.64;53;36.33;84.17;172.83;84.17;32.83;21.83;51.67;23.33
6803t23;feature;72;1;20;301;12354;12825.5;16564.25;11546;9310;1677;610;626;967;325;122;150;144;91
6803t24;feature;72;1;19;440;40920;47715.67;40595;23256.75;25343;2185.25;1454;1211;2105.75;593;164.5;157.5;443;105
6803t24-3UTR(Kopf);feature;101;1;10;175;11629.5;10748.67;14031.5;10012.75;12479;1452.25;837;597;919.75;254;91.5;87.5;229;63
6803t25;feature;72;1;2.5;53;1406.83;931.5;1073.83;623.03;801.33;170.5;89.5;56.5;98;23;14;33;58.5;24.5
6803t25-3UTR(Kopf);feature;185;1;2.5;39;872.5;611.5;735;415.5;577;62.5;33.5;41.5;76;19;12;32;52.5;22.5
6803t26;feature;73;1;51.5;133;8329.83;18422.75;27300;21329.45;31067.5;1834;1841.5;1592.5;2588.25;1138.5;312.5;789;836.75;727
6803t26-3UTR(Kopf);feature;485;1;40.5;105;6799;15423;23188;18139.77;28012.02;1588.01;1617.53;1426.04;2293.25;1008.5;277.53;728.04;775.75;676
6803t27;feature;72;1;103;2538;113327.5;222358.5;210988.5;66868.2;74800.5;13961.5;5349;4086;6175.5;2207;1057;764;2187;1116
6803t28;feature;73;1;5;77;2579.83;1056.75;1887;1807.83;2380;204;167;132.5;313;126;71;93;122.5;80
6803t29;feature;74;1;60.5;451;28362.67;45003.33;53984.42;29411.83;35676.17;5436.67;4587.5;2883;4444.5;1540;570;798;1043;656
6803t30;feature;71;1;0;6;32;83;233.5;255;174;36;12;8;16;19;11;23;3;12
6803t31;feature;85;1;7;51;1892;7926.67;15363.75;12200.67;6803;1329;447.5;384;548;245.5;131.5;82;147;45
6803t31-3UTR(Kopf);feature;22;1;3;11;582.5;2626.17;5855.42;4503.67;2645.5;463;128.5;130;227;88;49.5;31;50;17.5
6803t32;feature;73;1;3.83;1.5;117.42;370.83;1518.69;2114.15;2826.89;278.83;226.33;239.83;454.33;227.33;90.17;130.33;128.67;239.33
6803t32-3UTR(Kopf);feature;109;1;3.83;1.5;72.83;286.66;1346.82;1866.65;2565.64;233.83;200.33;217.83;422.83;213.83;83.67;127.33;122.67;230.83
6803t32-5UTR(Kopf);feature;7;1;3.33;1;94.58;294.83;1083.19;1566.65;2037.89;190.33;171.33;169.33;340.83;140.83;51.17;58.33;74.67;98.83
6803t33;feature;73;1;2.67;45.5;3075.31;3934.07;4801.15;2726.41;1762.33;116.67;58.5;103;232;104.5;40.83;37.5;76.33;44.67
6803t33-3UTR(Kopf);feature;62;1;2.67;43.5;2963.31;3770.07;4662.15;2626.24;1699.16;104.17;53;95.83;227;101.33;39.67;36.5;75.33;44.17
6803t33-5UTR(Kopf);feature;50;1;0.67;20;1384.31;1167.32;870.65;631.99;492.49;18.17;21.5;30.5;83;32.5;12.83;12;32.33;9.17
6803t34;feature;35;1;0;0.5;38.33;88;144.17;511.17;2059.33;2765.16;3815.33;2994;917.83;446.83;156.83;29.33;82.17;3.33
6803t34-5UTR(Kopf);feature;5;1;0;0;2.83;5.5;17.67;104.67;319.83;297.16;344.83;218;91.33;53.83;21.83;4.83;8.17;0.33
6803t35;feature;71;1;1;12;388;702;1274;691.5;614;101;48;67;61;35.5;7;4;24;3
6803t36;feature;72;1;11;35;351;1033.5;4576.25;3156;2523;508;147;134;211;173;142;180;142;304
6803t37;feature;82;1;15.5;91.5;5100;38809;51061;31998.5;46591;8513;4157;2883.5;1820.5;1005.5;642.5;301;935.5;219
6803t37-5UTR(Kopf);feature;12;1;2.5;22;772.5;9107.5;10494;5814;6815.5;953.5;514;476.5;293.5;240.5;157;71.5;239;45.5
6803t38;feature;72;1;12;100.5;3915.17;5217.25;5715.33;4625.37;4360.83;559.17;313;236;473;260;74.5;176.5;138.5;282.5
6803t39;feature;86;1;0;6.5;393;1354;2735.5;2375.75;1997.33;489;126.5;111.33;138;59.5;15.83;17;21.5;5.5
6803t39-3UTR(Kopf);feature;372;1;0;1.5;197;831.5;1789;1780.75;1513.5;397;103.5;88;102;50;13.5;11;15.5;1.5
6803t39-5UTR(Kopf);feature;29;1;0;0;16;78.5;156.5;94.5;67.33;14.33;3;3.33;6;1.5;1.83;4;1;0
6803t40;feature;74;1;136.5;1237;74595.67;69938.33;77664.42;51173.17;79246.17;8353.17;8106;5894.5;9885.5;2979.5;1040;1290;2385.5;756.5
6803t41;feature;84;1;39.5;190.5;10050.5;31951;39723.25;16762.5;8908;704.5;363;700;1176;589.5;204.75;146.5;324.25;69
6803t41-3UTR(Kopf);feature;133;1;8;27.5;1242;8832;12810.5;4927;2756.5;171;81.5;168;223.5;116.5;41;38;90;21
6803t41-5UTR(Kopf);feature;23;1;6.5;23;942.5;7337;10282.75;4075;2146.5;148.5;86.5;161;226.5;152;46.75;37.5;82.25;21
6803t42;feature;74;1;6;44;1764.5;2011.5;3208;3401.25;4745;519.5;297;294.5;495;127.5;42;50.5;115;97.5
6803t42-3UTR(Kopf);feature;225;1;6;32;1479.5;1547.5;2519;2776.25;3908;344.5;159;194.5;394;112.5;38;43.5;103;89.5
Geneid;feature;Length;1;III-1_S1.fastq;III-2_S2.fastq;III-3_S3.fastq;III-4_S4.fastq;III-5_S5.fastq;III-6_S6.fastq;III-7_S7.fastq;III-8_S8.fastq;III-9_S9.fastq;III-10_S10.fastq;III-11_S11.fastq;III-12_S12.fastq;III-13_S13.fastq;III-1415_S14.fastq;III-1617_S15.fastq;III-18_S16.fastq
NC-2306445;feature;82;1;0;0;0;2;0;3;2;1;0;0;0;0;0;0;0;0
Norf1;feature;147;1;0;1;29.5;62.5;462.5;2106;4105;1457.5;535;330;220.5;168;63.5;90.5;106;4
Norf1-5UTR(Kopf);feature;144;1;0;2;24.5;37.5;243.5;756;1405;521.5;252;223;122.5;127;40.5;63.5;89;4
Norf2;feature;207;1;0;0;0;0;5.5;22;49;32.5;14;8;7;3;0;0;0;0
Norf3;feature;249;1;0.5;0;0;0;0;0;0.5;1;1;0;0;1;0;0;0;0
Norf3-3UTR(Kopf);feature;216;1;0;0;0.33;0;0;0;2.5;0.33;0;2;0;2.33;2;0;0.33;0
Norf3-5UTR(Kopf);feature;22;1;0.5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Norf4;feature;96;1;0;0;0;0;6;7;21.5;17.5;2;7;2;0.5;0;0;0;0
Norf4-3UTR(Kopf);feature;539;1;0;0;0;0;2;6.5;22.5;12;6;10;5;3.5;0;2;0;0
Norf4-5UTR(Kopf);feature;70;1;0;0;0;0;1;1.5;10;6.5;2;4;1;0;0;0;0;0
Norf5;feature;285;1;0;0;0.5;0;0;14.83;27.5;21.33;6.5;2.5;0;2;6;0;0;0
Norf5-3UTR(Kopf);feature;214;1;0;0;0;0;0;3;1.5;2.5;1;2.5;2;0;0;0;0;0
Norf5-5UTR(Kopf);feature;19;1;0;0;0;0;0;0.5;1;0.83;0.5;0;0.5;0;0;0;0;0
Norf6;feature;141;1;0;0;1.5;2;20;78.5;158;74.5;37;19;11.5;7;4;2.5;2.5;0
Norf6-5UTR(Kopf);feature;51;1;0;0;0;0;4;16.5;30;13.5;10.5;8;3.5;3;0;0;2.5;0
Norf7;feature;177;1;0;0;0;0;2.67;9.5;18.17;13.83;5;6.17;2.5;2.33;0;0.67;0;0
Norf7-3UTR(Kopf);feature;857;1;0;0;0;0;6.67;19;36.33;27.5;1.67;5;6.33;4;4;2.67;0;0
Norf7-5UTR(Kopf);feature;22;1;0;0;0;0;0;2;6.33;3.33;0.33;1.67;0.67;1.33;0;0;0;0
Norf8;feature;140;1;0;0;0;0;0;2;0.33;0.83;1.5;0.33;2;1;0;0;0;0
Parent=desC%2Cdes9;feature;452;1;0;0;2;3;27;130.5;228.33;150.5;48.33;44;25.33;20.83;12;9.5;6;0
cr1RNA;feature;1149;1;2;0;6;3;25;64.5;134;1962.5;9318;5558.5;2670.5;793;234.5;54;126;12
cr2RNA;feature;1402;1;8;197;10549;10854;13021;7066.5;5951;585.5;467;664;739;262;53;43;116;26
cr3RNA;feature;2260;1;23;150;50;21;91;312;584;316;3614;2767;1627;641;192;58;47;6
hliR1;feature;111;1;0;0;0;2;6;18;35;12;3;4;4;9;2;0;4;0
ncl0020;feature;100;1;0;0;0;0;0;0;0;0;0.5;1;0;0;0;0;0;0
ncl0020-3UTR(Kopf);feature;234;1;0;0;0;0;0;2;1;0;4.5;2;0;0;1;0;0;0
ncl0030;feature;122;1;0;0;1;5;5;24;93;49;29;10;18;8;0;2;2;2
ncl0040;feature;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0040-3UTR(Kopf);feature;2264;1;0;0;0;1;5;11;15;6;2;5;0;3;6;0;2;0
ncl0050;feature;88;1;0;0;0;0;0;1.5;1.25;0;0.5;0;0;0;0;0;0;0
ncl0050-3UTR(Kopf);feature;654;1;0;0;0;0;0.5;0.5;0.25;5;1;0;0;0;0;0;0;0
ncl0050-5UTR(Kopf);feature;259;1;0;0;0;0;1;0.5;0;2;2.5;0;0;0;0;0;0;0
ncl0060;feature;32;1;0;0;0;0;0;5;8;0;3;2;2;3;2;0;0;0
ncl0070;feature;23;1;0;0;0;0;2;9;17;7;5;3;4;0;2;2;0;0
ncl0080;feature;35;1;0;0;0;0;0.5;0;0;0;1;0;0;0;0;0;0;0
ncl0100;feature;40;1;0;0;0;0;1.5;5;19;10.5;4.5;7.5;5.5;8;6.5;3;2.5;1
ncl0110;feature;61;1;0;0;0;2;2;11;6;6;3;0;4;0;0;0;0;0
ncl0120;feature;61;1;0;0;1;0;0;0;2.5;1;0;0;0;0;0;0;0;0
ncl0130;feature;30;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
ncl0140;feature;42;1;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0
ncl0140-3UTR(Kopf);feature;106;1;0;0;0;0;0;0;2;0;3.5;0;0;0;0;0;0;0
ncl0150;feature;207;1;0;0;0;0;2.67;4.67;13;3.33;10.33;2;11;6.67;19;18;30.33;0
ncl0160;feature;83;1;3.5;2;33;105;466.5;2229.5;6216.5;2481.5;1279;953;961;3473;3290.5;5552;4038;301.5
ncl0160-3UTR(Kopf);feature;435;1;2;0.5;5.5;4.5;42;413.5;1657.67;555.67;377.5;338.67;401.83;1934.83;1820;3444.5;2244.5;173.5
ncl0160-5UTR(Kopf);feature;167;1;3;1.5;38;135.5;725;3696.5;10299.5;4320;2465.5;1765.5;1767.5;7154;6342;9912.5;8175;674
ncl0170;feature;111;1;0;0;1;2;17;67;136;54;35;21;15;14;7;1;0;0
ncl0180;feature;85;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
ncl0190;feature;61;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0
ncl0200;feature;62;1;0;0;0;0;0;28;54.5;40;7.5;12;2;5;3;3;1;0
ncl0210;feature;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0215;feature;124;1;0;0;0;0;3;7.83;11.83;3;2.5;1.5;1;0.5;0;0;0;0
ncl0215-3UTR(Kopf);feature;28;1;0;0;0;0;1;2.83;5.83;2;1.5;0.5;0.67;0.5;0;0;0;0
ncl0230;feature;134;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
ncl0240;feature;55;1;0;0;0;0;0;0;0;0;1;0.5;0;0;0;0;0;0
ncl0240-3UTR(Kopf);feature;142;1;0;0;0;0;0;0;0;8;2.5;0;0;0;0;0;0;0
ncl0240-5UTR(Kopf);feature;118;1;0;1;0;0;0;0;0;2;3.5;1.5;0;0;0;0;0;0
ncl0250;feature;45;1;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
ncl0250-3UTR(Kopf);feature;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0250-5UTR(Kopf);feature;4;1;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
ncl0260;feature;183;1;0;0;0;0;0;8;7;2;1;2.5;0;5;2.5;1.5;0;0
ncl0270;feature;76;1;0;0;3.5;1;19.33;142.5;339;108.83;48.5;46;30;18.33;5;4;1;0
ncl0270-3UTR(Kopf);feature;133;1;0;0;2.5;0.5;7.33;60;160;45.33;19;15.5;12.5;9.83;1.5;2;0;0
ncl0270-5UTR(Kopf);feature;107;1;0;0;1;1.5;12.83;143;525.5;210.33;131;95.5;50;38.83;13.5;6.5;3.5;0
ncl0280;feature;113;1;0;0;0;0;0;0;3.5;3;2;1;0;0;0;0;2;0
ncl0280-5UTR(Kopf);feature;73;1;0;0;0;0;0;0;0.5;1;3;0;0;0;0;0;0;0
ncl0290;feature;42;1;0;0;0;0;0;0.67;0.33;0.33;0;0;0;0;0;0;0.33;0
ncl0290-3UTR(Kopf);feature;2;1;0;0;0;0;0;0;0.33;0.33;0;0;0;0;0;0;0;0
ncl0290-5UTR(Kopf);feature;136;1;0;0;0;0;0;0.67;1.33;2.33;1;0;0;0;0;0;0.83;0
ncl0300;feature;55;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
ncl0310;feature;138;1;0;0;0;0;0;9.5;10;3.5;4;3;5.5;1;2;1;0;0
ncl0320;feature;121;1;0;0;3.5;1.5;17;11;18;11;6.25;5;4;1.5;0;1;0;0
ncl0320-5UTR(Kopf);feature;3;1;0;0;0.5;0;0;0;1;1;0.25;0;0;0.5;0;0;0;0
ncl0330;feature;91;1;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0
ncl0330-3UTR(Kopf);feature;25;1;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0
ncl0350;feature;160;1;0;0;0;0;5;19;10;4;4;7;2;3;2;0;4;0
ncl0360;feature;51;1;0;0;0;0;1;4.5;3.5;1;1.5;1.5;0;1.5;0.5;0;0.5;0
ncl0360-5UTR(Kopf);feature;18;1;0;0;0;0;1;1.5;2.5;0;0.5;0.5;0;0.5;1.5;0;0.5;0
ncl0370;feature;38;1;0;0;2;0;2;31;25;9;4;11;3;5;7;0;2;2
ncl0380;feature;164;1;0;0;4;38;152;482;1140;470;168;77;46;27;20;11;8;2
ncl0390;feature;62;1;0;0;0.5;0.67;0;0.67;6.5;1.33;3.33;1;1.67;0.33;0.33;0.67;0.33;0
ncl0390-3UTR(Kopf);feature;2;1;0;0;0;0;0;0;0.67;0;0;0;0;0.33;0.33;0;0.33;0
ncl0390-5UTR(Kopf);feature;210;1;0;0;1.5;1.17;3;9.17;19.5;10.33;5.83;3.5;3.67;1.33;0.33;0.67;0.33;0
ncl0400;feature;80;1;0;0;8;15;75;148;264;90;43;15;17;5;7;2;3;1
ncl0410;feature;217;1;0;0;0;0;0;0.5;3;2;1.5;0;0;0;3;0;0;0
ncl0420;feature;61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0430;feature;62;1;0;0;0;0;0;7;8;1;10;3;8;7;9;5;8;0
ncl0440;feature;86;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
ncl0460;feature;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0490;feature;96;1;0;0;0;2;5;28.5;58.5;11.5;13.5;11.5;1;6.5;1;0;1;1
ncl0500;feature;116;1;0;0;0;0;0;0;3;7;2;6;2;2;0;0;0;0
ncl0520;feature;63;1;0;0;0;0;1;0;0;3;1;2;0;2;0;0;0;0
ncl0530;feature;80;1;0;0;0;0;0;2;1;6.5;7;7;1.5;5.5;3.5;3;0;0
ncl0530-5UTR(Kopf);feature;3;1;0;0;0;0;0;0;1;1.5;0;1;0.5;0.5;0.5;0;0;0
ncl0540;feature;207;1;0;2;6.5;54;113.5;264;391;81;38.5;45.5;38;41.5;27;12;5.5;1.5
ncl0560;feature;171;1;0;0;1;0;2;6;21;8.5;9;0;2;7.5;6.5;0;0;0
ncl0570;feature;83;1;0;2;4;16;64;778;3098;782;383;245;171;62;16;14;13;6
ncl0580;feature;132;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
ncl0590;feature;182;1;0;0.67;4.67;10.33;45.17;132.17;252.83;56.67;39.67;29.5;23;24.5;11.83;3.5;2;0
ncl0590-3UTR(Kopf);feature;28;1;0;0.67;0.67;1.33;7.17;20.67;27.33;11.17;4.67;3.5;3.5;5;1.83;1.5;0.5;0
ncl0600;feature;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0610;feature;66;1;0;0;0;1;1.5;4;8.5;0.5;0;0.5;0;0.5;0;1;0;0
ncl0620;feature;54;1;0;0.5;13.67;15.17;29;25.33;55.67;4;5.17;5.17;7.67;1.83;0;1.5;1;0
ncl0620-3UTR(Kopf);feature;43;1;0;0.5;6.67;5.17;7;6.67;21.5;1.5;1.33;2.67;1.83;0.5;0;0.5;0.5;0
ncl0620-5UTR(Kopf);feature;60;1;0;0;7.67;10.67;23;19.33;37.17;3.5;5.17;3.17;6.17;2;0;1;0.5;0
ncl0640;feature;120;1;0;0;0;1;0;1;0;0.5;0;0.5;0;0;0;0;0;0
ncl0640-3UTR(Kopf);feature;78;1;0;0;0;0;0.5;1;7;4.5;0;3;1;1.5;0;0;0;0
ncl0650;feature;87;1;0;0;0;0;0;0;1;1;2;2;2;0;0;0;0;0
ncl0660;feature;70;1;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0
ncl0680;feature;134;1;0;0;0;0;0;0;4;3.5;2;0;1;2;0;0;0;0
ncl0680-5UTR(Kopf);feature;75;1;0;0;0;0;0;0;0;0.5;1;0;1;0;0;0;0;0
ncl0690;feature;199;1;0;0;0;0;0;2;0;1;0;2;0;3;0;0;0;0
ncl0700;feature;90;1;0;0;0;0;0.33;1;1.5;0;0;1.5;2;0;0.5;1.5;0;0
ncl0700-3UTR(Kopf);feature;11;1;0;1.25;0;0;0.33;0;0;0;0;0.25;0.5;0;0;0.5;0.5;0
ncl0700-5UTR(Kopf);feature;232;1;0;0;0;0;0;2;2.5;0;2;0.5;1;0;0.5;0.5;0;0
ncl0710;feature;53;1;0;0;0;0;3;6;12;3;2;10;9;2;2;2;5;0
ncl0720;feature;79;1;0.5;1;19.5;95.5;662.5;3931;4571.5;907.5;328;205.5;221.5;104.5;43.5;22;23;9.5
ncl0720-3UTR(Kopf);feature;61;1;0;0;0.5;0;12;165.5;487.5;130;60.5;41;48.5;33;13;5;5;2.5
ncl0730;feature;59;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ncl0740;feature;108;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ncl0750;feature;164;1;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
ncl0760;feature;41;1;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
ncl0770;feature;114;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ncl0780;feature;74;1;0;0;0;0;0;0;0;1.5;0.5;0;1;0;0;0;0;0
ncl0780-3UTR(Kopf);feature;311;1;0;0;0;0;0;0;2;3.5;0.5;0;0;0;0;0;0;0
ncl0790;feature;140;1;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0
ncl0800;feature;49;1;0;0;0;0;6;7;10;0;2;0;2;0;0;2;0;0
ncl0810;feature;131;1;0;0;0;0;2;0;1;1.5;2;1;0;0.25;0;1;0;0
ncl0810-3UTR(Kopf);feature;27;1;0;0;0;0;0;0.5;0;0.5;0;1;0;0;0;0;0;0
ncl0810-5UTR(Kopf);feature;348;1;0;0;0.5;0;0;0;2;0;3;0;0;0;0;0;0;0
ncl0820;feature;258;1;17;15;46;170;1388.5;3843.5;4745.5;5652;24932;30248;13840;5840;2133.5;300;645;58
ncl0830;feature;120;1;0;0;0;0;4;7;12;6;4.5;2;3;2;3;0;0;0
